id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,67.5,no_of_special_requests,booking_status
82,0,0,0,3,0,0,2,156,2018,8,31,1,0,0,0,66.0,1,1
83,1,0,1,2,0,0,0,8,2018,2,15,0,0,0,0,117.45,1,0
84,2,0,2,4,0,0,1,57,2018,9,4,1,0,0,0,97.56,1,1
85,2,0,2,7,0,0,0,160,2018,8,22,1,0,0,0,70.0,0,1
86,2,0,1,4,0,0,0,110,2017,10,9,0,0,0,0,110.8,0,0
87,1,0,1,3,0,0,0,118,2018,6,29,1,0,0,0,60.0,0,1
88,2,0,2,4,0,0,0,1,2018,1,29,0,0,0,0,126.6,0,0
89,1,0,0,3,0,0,1,30,2018,6,8,1,0,0,0,138.5,1,0
90,3,0,2,0,0,0,1,63,2018,7,3,1,0,0,0,123.82,0,0
91,1,0,2,3,0,0,1,10,2018,10,1,1,0,0,0,109.0,0,1
92,2,0,0,2,2,0,0,102,2017,10,16,0,0,0,0,187.0,1,0
93,2,2,2,6,0,0,3,132,2018,7,1,1,0,0,0,130.05,0,1
94,3,0,1,4,0,0,1,168,2018,7,25,1,0,0,0,90.0,3,0
95,2,0,1,2,0,0,0,198,2018,5,9,0,0,0,0,90.95,0,1
96,2,0,1,4,0,0,0,138,2018,6,29,1,0,0,0,118.8,0,0
97,2,0,1,2,0,0,0,107,2018,10,7,1,0,0,0,80.75,1,0
98,1,0,1,3,0,0,0,61,2017,10,19,1,0,0,0,169.0,2,0
99,2,0,2,2,2,0,0,8,2018,8,26,1,0,0,0,62.0,1,0
100,2,0,1,2,0,0,0,20,2018,1,12,0,0,0,0,140.0,0,0
101,2,0,0,1,0,0,0,30,2018,11,2,0,0,0,0,198.9,0,0
102,2,0,1,1,0,0,3,159,2018,8,6,1,0,0,0,109.8,0,1
103,2,0,1,2,0,0,1,150,2018,8,30,1,0,0,0,87.0,0,1
104,1,0,0,3,2,0,0,55,2018,4,6,0,0,0,0,90.95,0,0
105,2,0,1,4,0,0,0,275,2018,10,4,1,0,0,0,100.8,1,0
106,2,0,0,1,0,0,0,6,2017,10,11,0,0,0,0,89.25,0,0
107,2,0,2,4,1,0,0,134,2018,7,26,1,0,0,0,108.9,1,0
108,2,1,0,3,0,0,0,172,2018,10,4,1,0,0,0,75.0,0,1
109,2,0,1,3,0,0,1,77,2018,3,20,0,0,0,0,95.2,0,0
110,2,0,2,3,0,0,1,107,2018,4,23,1,0,0,0,197.78,0,0
111,2,2,2,4,0,0,3,33,2018,4,23,1,0,0,0,75.0,1,1
112,2,0,1,3,0,0,1,35,2017,9,26,0,0,0,0,76.5,0,0
113,2,0,1,2,0,0,0,119,2017,7,22,1,0,0,0,111.2,1,1
114,1,0,0,1,0,0,0,0,2017,10,14,0,0,0,0,79.2,0,0
115,2,0,1,1,1,0,0,121,2018,11,24,1,0,0,0,87.67,2,1
116,2,0,1,2,0,0,0,237,2018,6,22,1,0,0,0,159.3,1,1
117,3,0,0,1,0,0,1,33,2018,3,26,1,0,0,0,65.0,1,1
118,1,0,0,3,0,0,0,34,2017,10,7,2,0,0,0,65.8,0,1
119,1,0,0,1,0,0,0,1,2018,1,21,0,0,0,0,133.4,0,0
120,3,0,2,4,0,0,1,28,2018,4,17,1,0,0,0,130.5,2,1
121,2,0,0,2,0,0,1,174,2018,7,10,1,0,0,0,138.55,0,1
122,3,0,2,5,0,0,1,151,2018,7,2,1,0,0,0,110.0,0,1
123,1,0,5,2,0,0,1,11,2018,5,24,3,0,0,0,106.3,0,1
124,2,0,2,1,0,0,0,252,2018,10,15,1,0,0,0,65.0,0,1
125,1,0,0,2,0,1,0,5,2018,3,15,2,1,0,3,68.0,1,0
126,2,0,0,3,0,0,0,157,2018,11,8,0,0,0,0,103.5,0,1
127,2,0,1,1,1,0,0,131,2018,7,3,1,0,0,0,70.0,1,0
128,2,0,0,2,0,0,0,84,2017,12,22,0,0,0,0,147.9,0,0
129,2,2,2,2,0,0,3,63,2018,11,23,1,0,0,0,129.0,1,1
130,2,0,0,3,2,0,0,9,2018,3,20,1,0,0,0,129.34,1,0
131,2,0,2,5,0,0,1,123,2018,8,20,1,0,0,0,107.0,2,0
132,2,0,1,2,1,0,0,418,2018,9,26,1,0,0,0,55.96,0,1
133,2,0,1,2,0,0,0,100,2018,7,31,1,0,0,0,75.0,1,0
134,2,0,0,1,0,0,0,80,2018,12,11,0,0,0,0,161.0,0,0
135,2,0,0,3,0,0,1,7,2018,3,25,1,0,0,0,90.0,1,0
136,2,0,2,1,0,0,0,202,2018,5,29,0,0,0,0,156.0,0,0
137,2,0,0,2,0,0,1,28,2018,5,20,1,0,0,0,65.0,0,1
138,1,0,0,1,0,0,0,2,2018,12,7,2,1,0,23,65.0,2,0
139,2,0,1,2,0,0,0,224,2017,10,2,0,0,0,0,75.0,0,1
140,1,0,0,2,0,0,0,6,2018,11,25,0,0,0,0,81.0,0,0
141,2,0,1,3,0,0,0,119,2018,4,4,0,0,0,0,242.77,0,0
142,2,2,2,3,0,0,5,39,2018,10,10,1,0,0,0,67.0,1,0
143,1,0,0,1,0,1,0,2,2018,4,16,2,1,0,3,108.0,1,0
144,2,0,0,3,0,0,0,27,2017,9,22,0,0,0,0,121.5,0,0
145,2,1,2,2,0,0,0,132,2018,7,3,1,0,0,0,131.4,2,0
146,2,0,2,2,0,0,1,160,2018,12,29,1,0,0,0,177.93,1,1
147,2,2,2,2,0,0,3,59,2018,5,28,1,0,0,0,150.3,0,1
148,3,0,0,4,0,0,1,107,2018,8,3,1,0,0,0,76.5,0,1
149,1,0,1,2,0,0,0,102,2017,10,16,0,0,0,0,105.3,0,0
150,2,0,2,2,0,0,0,122,2018,5,15,1,0,0,0,105.0,0,1
151,2,0,0,2,0,0,0,67,2018,11,2,0,0,0,0,85.5,0,0
152,2,0,2,0,1,1,0,196,2018,7,28,1,0,0,0,169.52,1,0
153,3,0,2,8,0,0,5,16,2018,9,2,1,0,0,0,110.0,2,0
154,1,0,2,4,0,0,0,245,2018,7,6,0,0,0,0,87.3,0,0
155,2,1,2,1,0,0,0,68,2018,4,2,1,0,0,0,94.5,1,0
156,2,0,0,3,1,0,0,110,2018,7,12,1,0,0,0,102.6,0,1
157,2,0,0,2,2,0,0,1,2017,9,30,0,1,1,0,110.0,0,0
158,1,0,1,1,0,0,0,119,2018,6,6,0,0,0,0,111.2,0,0
159,2,0,2,0,0,0,0,4,2017,9,20,0,0,0,0,80.75,0,0
160,2,0,2,2,0,0,0,157,2018,6,8,0,0,0,0,136.0,0,0
161,2,0,1,2,2,0,0,3,2017,12,10,0,0,0,0,80.0,0,0
162,2,0,0,3,0,0,0,335,2018,10,13,0,0,0,0,60.0,2,0
163,1,0,0,1,0,0,0,41,2018,12,27,0,0,0,0,145.8,0,0
164,3,0,2,3,0,0,1,36,2018,10,19,1,0,0,0,105.96,2,0
165,2,0,2,5,0,0,0,178,2018,7,31,1,0,0,0,90.95,0,1
166,2,0,2,2,0,0,0,179,2018,7,23,1,0,0,0,72.25,1,0
167,2,0,1,3,0,0,0,219,2018,8,17,0,0,0,0,127.0,0,0
168,0,2,2,0,0,0,2,14,2018,4,17,1,0,0,0,103.5,1,0
169,2,0,2,1,0,0,1,116,2018,12,18,1,0,0,0,99.45,0,0
170,2,0,0,4,0,0,0,166,2018,6,29,1,0,0,0,99.45,1,1
171,2,0,0,3,0,0,0,177,2018,8,2,1,0,0,0,70.0,1,0
172,1,0,0,1,0,0,0,122,2018,4,13,0,0,0,0,144.0,0,0
173,2,0,1,0,0,0,0,3,2018,8,28,0,0,0,0,123.25,0,0
174,2,0,0,4,0,0,1,153,2018,8,2,1,0,0,0,90.95,0,1
175,2,0,2,1,0,0,1,23,2018,1,2,0,0,0,0,104.4,1,0
176,2,0,2,2,0,0,1,175,2018,10,29,1,0,0,0,194.0,1,1
177,2,0,2,0,2,0,1,11,2018,5,20,0,0,0,0,58.0,0,0
178,2,0,1,3,0,0,0,5,2017,11,1,0,0,0,0,107.0,1,0
179,2,0,0,2,0,0,1,1,2018,10,5,0,0,0,0,157.0,0,0
180,3,0,2,2,0,0,1,10,2018,5,5,1,0,0,0,106.2,0,1
181,2,0,0,1,1,0,0,317,2018,9,1,1,0,0,0,101.15,0,1
182,2,0,2,3,0,0,0,123,2018,5,30,1,0,0,0,65.29,1,0
183,2,0,2,6,0,0,2,184,2017,10,17,1,0,0,0,80.75,1,0
184,2,0,2,1,0,0,0,54,2018,9,30,0,0,0,0,69.0,1,0
185,2,0,0,4,0,0,0,75,2018,3,18,1,0,0,0,65.42,0,0
186,2,0,1,4,0,0,0,97,2018,3,23,1,0,0,0,132.3,0,0
187,2,0,0,3,0,0,1,128,2018,10,11,1,0,0,0,97.75,0,1
188,2,0,1,3,1,0,0,161,2018,8,4,1,0,0,0,89.25,0,1
189,2,0,2,5,1,0,0,185,2018,8,17,1,0,0,0,100.0,1,0
190,2,0,1,3,0,0,0,78,2018,5,19,0,0,0,0,75.0,0,1
191,2,0,2,1,0,0,0,124,2017,8,8,0,0,0,0,0.0,0,0
192,1,0,0,2,2,0,0,1,2017,12,10,1,0,0,0,99.45,1,0
193,2,0,1,3,0,0,0,127,2018,5,30,1,0,0,0,100.0,0,0
194,2,0,2,0,0,0,0,5,2017,9,20,2,1,1,0,77.03,0,0
195,2,0,2,2,0,0,0,156,2018,7,25,1,0,0,0,106.2,1,1
196,2,0,0,3,0,0,0,250,2018,10,14,1,0,0,0,65.0,0,1
197,1,0,3,10,0,0,0,3,2018,10,5,2,1,4,47,90.9,1,0
198,1,0,0,2,0,0,0,99,2018,2,19,1,0,0,0,166.85,0,0
199,2,1,1,3,0,0,3,15,2018,12,29,1,0,0,0,65.0,2,0
200,1,0,1,0,0,0,0,2,2018,3,29,2,1,0,7,116.1,0,0
201,2,0,2,5,1,0,0,122,2018,6,29,1,0,0,0,144.0,0,1
202,2,0,0,3,0,0,0,7,2018,5,5,0,0,0,0,110.0,0,0
203,2,0,0,3,0,0,0,263,2018,10,21,0,0,0,0,85.0,0,0
204,2,0,0,1,0,0,0,65,2018,9,21,0,0,0,0,169.0,0,0
205,2,0,1,0,2,0,0,26,2018,4,22,1,0,0,0,94.5,0,1
206,2,0,1,1,1,0,0,80,2018,7,25,0,0,0,0,38.67,0,0
207,2,0,2,1,0,0,0,122,2018,3,25,0,0,0,0,207.9,0,0
208,2,2,1,4,0,0,3,56,2018,9,27,1,0,0,0,98.0,1,1
209,1,0,1,1,0,0,0,19,2018,10,21,2,1,1,8,95.0,0,0
210,2,0,0,1,0,0,0,70,2018,9,26,0,0,0,0,137.0,1,0
211,2,0,0,5,0,0,0,230,2018,9,6,0,0,0,0,121.5,0,1
212,1,0,0,2,0,0,1,122,2018,5,12,1,0,0,0,81.0,0,0
213,3,0,2,1,0,0,0,127,2018,3,20,0,0,0,0,105.6,1,0
214,2,0,2,2,0,0,1,56,2018,4,23,1,0,0,0,67.0,0,1
215,1,0,1,0,0,1,0,0,2018,3,7,2,1,0,14,119.85,1,0
216,2,0,2,5,0,0,0,119,2018,6,16,1,0,0,0,58.0,0,1
217,2,0,0,4,0,0,0,7,2017,12,9,0,0,0,0,65.0,0,0
218,2,0,1,2,0,0,0,39,2018,12,27,0,0,0,0,65.0,0,0
219,2,0,0,3,0,0,0,7,2017,12,29,0,0,0,0,130.0,0,0
220,1,0,1,2,0,0,0,64,2018,5,10,1,0,0,0,105.0,0,1
221,3,0,2,2,0,0,0,57,2018,11,11,0,0,0,0,127.41,0,0
222,2,0,0,3,0,0,1,130,2018,5,5,1,0,0,0,80.0,0,1
223,1,0,2,1,0,0,0,1,2018,2,28,0,0,0,0,131.33,0,1
224,2,0,2,4,2,0,1,12,2018,4,14,1,0,0,0,150.45,1,0
225,3,0,2,2,0,0,1,111,2018,6,15,1,0,0,0,82.45,0,1
226,2,0,2,5,0,0,1,73,2018,4,3,1,0,0,0,65.0,1,0
227,2,0,1,2,0,0,0,193,2017,10,22,1,0,0,0,104.4,0,1
228,2,0,2,0,0,0,1,46,2018,4,1,1,0,0,0,110.0,0,1
229,2,0,2,4,0,0,0,183,2018,9,29,1,0,0,0,75.0,1,1
230,2,0,1,2,0,0,0,70,2018,3,25,0,0,0,0,75.0,0,0
231,2,0,0,4,0,0,0,40,2018,11,2,0,0,0,0,52.0,1,0
232,2,0,2,1,0,0,0,50,2018,1,14,0,0,0,0,108.0,0,0
233,1,0,0,1,1,0,0,54,2018,10,17,1,0,0,0,0.0,0,1
234,2,0,0,1,0,0,2,0,2018,4,15,1,0,0,0,109.81,0,0
235,2,0,2,5,0,0,0,97,2018,8,28,1,0,0,0,72.25,1,0
236,2,0,2,4,0,0,0,132,2018,7,31,0,0,0,0,96.3,1,1
237,2,0,2,1,0,0,0,180,2018,8,28,1,0,0,0,140.0,2,1
238,2,0,0,2,0,0,0,22,2018,5,4,0,0,0,0,123.84,0,0
239,2,0,0,4,0,0,4,35,2018,10,27,1,0,0,0,118.8,0,1
240,2,0,0,3,0,0,0,166,2018,10,6,1,0,0,0,99.45,0,1
241,2,0,1,3,0,0,0,164,2018,5,2,1,0,0,0,109.0,0,0
242,2,0,0,2,2,0,0,256,2018,6,16,0,0,0,0,115.0,0,0
243,1,0,1,2,0,0,0,162,2018,10,14,0,0,0,0,97.75,0,1
244,2,0,1,5,0,0,1,141,2018,11,13,1,0,0,0,194.3,0,0
245,3,0,0,3,2,0,0,43,2018,11,9,1,0,0,0,198.9,2,0
246,2,2,0,1,0,0,3,101,2018,5,30,1,0,0,0,215.0,0,1
247,2,0,0,1,2,1,1,7,2018,3,5,1,0,0,0,82.45,1,0
248,2,0,1,1,0,0,1,151,2018,7,11,0,0,0,0,124.5,2,1
249,2,0,0,1,0,0,1,138,2018,5,17,1,0,0,0,67.5,2,0
250,2,0,2,5,1,0,0,59,2018,3,12,1,0,0,0,105.0,1,1
251,2,0,0,1,0,0,0,37,2018,10,22,0,0,0,0,106.0,0,0
252,1,0,0,2,0,0,0,273,2017,7,20,2,0,0,0,196.0,0,1
253,2,1,1,1,0,0,0,6,2018,4,21,1,0,0,0,114.75,2,0
254,2,1,0,1,0,0,0,152,2018,7,23,1,0,0,0,80.75,0,1
255,2,0,0,1,0,0,0,76,2018,5,11,0,0,0,0,137.7,0,0
256,3,0,0,2,0,0,1,156,2018,7,26,1,0,0,0,159.0,0,1
257,2,1,0,1,0,0,0,2,2018,5,21,1,0,0,0,107.95,2,0
258,2,0,2,5,2,0,0,200,2018,8,17,1,0,0,0,60.0,0,1
259,2,0,2,1,0,0,1,56,2018,11,13,0,0,0,0,95.0,0,0
260,2,0,0,4,0,0,0,146,2018,8,24,0,0,0,0,58.0,0,1
261,2,0,2,1,0,0,0,87,2018,3,27,0,0,0,0,60.0,0,0
262,2,0,1,2,0,0,1,50,2018,11,14,0,0,0,0,72.0,1,0
263,2,0,2,2,0,0,0,54,2018,10,16,0,0,0,0,72.25,0,0
264,2,1,1,3,0,0,0,189,2018,8,8,0,0,0,0,72.25,0,0
265,2,0,2,3,0,0,0,166,2018,8,1,0,0,0,0,129.7,0,0
266,1,0,2,5,0,0,1,181,2018,10,11,1,0,0,0,93.08,1,1
267,2,0,2,2,0,0,1,99,2018,4,17,1,0,0,0,64.22,1,0
268,1,0,0,4,0,0,1,24,2018,3,4,1,0,0,0,90.0,0,0
269,1,0,0,3,2,0,0,256,2018,6,15,0,0,0,0,153.5,0,0
270,2,0,2,2,2,0,0,7,2018,8,14,1,0,0,0,97.75,1,0
271,2,1,1,3,0,0,0,69,2018,3,21,1,0,0,0,145.69,0,0
272,1,0,2,0,0,0,0,50,2018,11,9,1,0,0,0,99.3,0,0
273,0,2,0,3,0,0,2,103,2018,4,6,1,0,0,0,75.0,0,1
274,2,0,1,3,0,0,1,23,2017,10,14,0,0,0,0,137.7,0,0
275,3,0,0,3,0,0,1,184,2018,8,11,1,0,0,0,110.0,1,1
276,2,0,2,4,1,0,1,2,2018,11,12,1,0,0,0,90.95,1,0
277,2,0,2,2,0,0,1,51,2018,9,4,0,0,0,0,85.0,1,0
278,2,0,1,2,0,0,0,155,2018,11,25,1,0,0,0,96.3,1,1
279,2,0,0,2,0,0,0,208,2018,9,1,1,0,0,0,90.3,1,1
280,2,0,2,1,0,0,0,93,2018,10,31,1,0,0,0,123.82,1,1
281,3,0,1,4,2,0,1,33,2018,10,19,1,0,0,0,105.3,3,0
282,2,0,0,1,0,0,0,167,2018,8,26,1,0,0,0,110.8,1,1
283,2,0,1,4,0,0,0,24,2018,6,28,0,0,0,0,55.0,0,0
284,1,0,0,2,0,0,0,2,2018,3,2,0,0,0,0,110.0,0,0
285,2,0,2,5,0,0,0,118,2018,6,6,0,0,0,0,110.0,1,0
286,1,0,0,3,0,0,0,166,2018,11,1,0,0,0,0,118.8,0,1
287,2,0,0,1,0,0,0,126,2018,10,8,1,0,0,0,100.0,1,1
288,2,0,1,1,0,0,0,180,2018,5,2,1,0,0,0,125.83,1,1
289,2,1,1,3,0,0,1,12,2018,12,8,1,0,0,0,116.45,1,0
290,2,1,1,4,0,0,0,142,2018,7,11,1,0,0,0,85.5,1,1
291,2,0,0,5,1,0,0,197,2018,8,26,1,0,0,0,91.2,0,1
292,2,0,0,2,0,0,0,1,2017,9,9,0,0,0,0,77.51,0,0
293,2,0,2,5,0,0,1,208,2018,8,13,1,0,0,0,85.0,1,0
294,2,0,2,1,0,0,0,25,2018,10,22,0,0,0,0,90.0,0,1
295,1,0,1,2,0,0,0,12,2017,10,9,0,0,0,0,65.0,0,0
296,1,0,1,0,0,0,0,3,2018,7,11,2,1,1,3,109.8,1,0
297,2,0,2,1,0,0,1,202,2018,10,2,1,0,0,0,108.0,1,1
298,2,0,0,1,1,0,0,102,2018,10,9,1,0,0,0,130.0,1,1
299,2,0,1,2,0,0,2,161,2018,3,25,0,0,0,0,72.25,1,1
300,2,0,1,2,0,0,0,117,2018,8,1,0,0,0,0,74.8,0,0
301,3,0,1,3,1,0,0,52,2018,12,7,1,0,0,0,177.3,0,0
302,2,2,0,3,0,0,3,115,2018,7,14,1,0,0,0,86.4,2,0
303,1,0,0,1,0,0,0,77,2018,11,23,1,0,0,0,107.53,0,0
304,2,1,0,4,0,0,0,237,2018,10,14,1,0,0,0,103.0,0,1
305,2,0,1,3,0,0,2,3,2018,3,7,1,0,0,0,105.6,1,0
306,2,0,2,2,1,0,0,136,2018,5,30,1,0,0,0,149.0,1,0
307,2,0,2,2,2,0,0,14,2018,9,11,1,0,0,0,189.0,1,1
308,2,0,0,3,2,0,1,93,2018,5,17,1,0,0,0,75.0,3,0
309,2,0,0,1,0,0,0,48,2017,10,11,0,0,0,0,100.0,0,0
310,2,0,0,3,0,0,0,78,2018,3,26,0,0,0,0,72.25,0,0
311,2,0,0,4,0,0,0,98,2017,12,3,1,0,0,0,105.83,0,0
312,2,0,2,2,0,0,0,122,2018,7,30,1,0,0,0,72.25,1,0
313,2,0,1,3,0,0,0,132,2018,7,1,0,0,0,0,139.5,0,0
314,1,0,0,3,0,0,1,130,2018,9,29,1,0,0,0,137.7,2,1
315,3,0,0,2,0,0,1,59,2018,7,27,1,0,0,0,95.0,0,1
316,1,0,0,2,0,0,0,37,2018,10,27,0,0,0,0,159.75,0,0
317,2,2,1,3,0,0,3,33,2017,10,26,1,0,0,0,108.0,0,1
318,2,0,2,1,1,0,0,97,2018,10,16,1,0,0,0,118.8,0,1
319,2,0,1,2,0,0,0,166,2018,10,6,1,0,0,0,77.86,1,1
320,2,0,6,10,0,0,2,30,2018,11,11,1,0,0,0,108.57,2,1
321,1,0,2,2,0,0,1,8,2018,5,19,1,0,0,0,137.76,1,0
322,1,0,0,3,0,0,0,28,2018,5,4,1,0,0,0,90.95,0,1
323,2,0,2,2,0,0,1,76,2018,5,8,0,0,0,0,90.95,1,0
324,2,0,2,2,0,0,0,118,2018,4,10,1,0,0,0,99.45,1,0
325,2,0,1,3,0,0,0,167,2018,7,4,1,0,0,0,85.5,0,1
326,2,0,0,1,1,0,0,130,2018,9,25,1,0,0,0,75.0,1,0
327,2,0,0,3,0,0,0,44,2018,8,17,0,0,0,0,89.25,1,0
328,2,0,2,5,1,0,0,147,2018,7,11,1,0,0,0,103.5,2,1
329,2,0,0,2,1,1,0,156,2018,7,16,1,0,0,0,121.5,1,0
330,2,1,0,3,0,0,0,68,2018,7,11,1,0,0,0,65.0,0,1
331,2,0,1,2,0,0,0,86,2017,9,17,0,0,0,0,113.1,0,0
332,2,0,2,1,0,0,0,153,2018,8,20,1,0,0,0,80.75,0,1
333,2,0,0,3,0,0,0,76,2018,5,17,0,0,0,0,132.48,1,0
